City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
356,andenes,69.3143,16.1194,37.38,75,100,13.8,NO,1680571969
357,bonthe,7.5264,-12.505,78.37,87,35,4.34,SL,1680571969
358,forio,40.7342,13.8646,54.43,66,99,11.01,IT,1680571970
359,neiafu,-18.65,-173.9833,84.88,74,20,9.22,TO,1680571970
360,oranjemund,-28.55,16.4333,58.35,89,0,9.98,NA,1680571687
361,sept-iles,50.2001,-66.3821,28.06,90,100,2.3,CA,1680571863
362,medea,36.2642,2.7539,40.68,67,100,3.69,DZ,1680571970
363,biggar,55.6167,-3.5167,41.56,85,100,5.32,GB,1680571970
364,te anau,-45.4167,167.7167,64.76,48,25,2.3,NZ,1680571970
365,ginda,30.6945,78.4932,51.24,46,54,6.55,IN,1680571971
